959848;454-3336
45934261;1413
36615766;531172-7
40116252;8822492
44965849;1312
40548003;8-581166
47922540;35
46508992;5
11519570;6
46863876;3424
45350809;68586
47137232;65
47993656;4
47279950;342
48470381;3
48502035;7
380534;3
45799217;623
41401383;4-
48735063;6
1070202;7
41364680;9-4
1108524;9-4
1124688;37
169202;4
45028755;68
47575135;07
35447344;8-52832
40212787;685921
3233773;214626
20695824;4-56471
661590;4-56264
781207;653277
41192885;632-94
5647454;528160
25465701;212770
41122588;56-2815
40954457;00-4944
41411049;7-42410
24825424;331550
25465704;290025
10072608;361
51822;54
19708642;8
1043;0
27789859;8
47883996;706
48470850;0
3789426;225
48500507;7
44950335;040
48386286;0
43627397;0
5535156;0
40390222;231613
26400149;601090
39459040;313-542
28618311;436196
15062481;775915-
27165;11-1600
20247;175813
166899;212045
25652456;24-8DP8
10739864;058406
39113753;015004
36127698;611408
28652822;0987-00
40339979;132218
28557309;4-52601
25509815;15-4228
43974792;421117
19199919;440-113
28694521;743793
7648062;426230
26314798;553228
24720973;94-4093
13198964;3422
36972706;332223
15319828;12-0511
35664777;186813
41401387;423643
39882247;111685
35467164;48-6683
45720172;56376
40132684;26-5050
27436479;837208
41151010;3-445
43974796;74406
39565210;6236-83
39726701;454482
6746917;78-0351
28583477;522765
39154472;272346
31030;756
14960172;6-41275
21741805;525202
35912909;616521
11581020;201883
45500443;05546
25194141;781666
35792204;800074
1154589;43
45527636;72
47281860;3
48184418;6
48437773;78
47093595;664
45172590;80330
48437782;5
44864334;045
1484313;30
46636604;8
41237276;99
20023259;00700-1
18662914;903321
22140335;068671
40930647;85-5042
39459128;250964
25642125;509241
8757296;948033
3974862;200222
40043813;804003
28250882;7/089-26
41236844;60-3419
5501935;006750
36972590;55307-7
26182111;207858
39362629;08000-5
28751451;61060-0
40511647;040-0
5714410;930-092
20491150;10-9012
28244476;090/103
19746592;009142
21758082;582160
40094592;398726
40525241;24-0028
40693525;0-18048
40705821;055-005
11723083;907796
